Order,Family,Species,Common name,ED,GE,EDGE,Rank,Red List ID,Distribution,
CETARTIODACTYLA,PLATANISTIDAE,Platanista gangetica,Ganges River Dolphin,50.03310219,3,6.011916026,13,41758,"Bangladesh,India,Nepal,Pakistan", 
CETARTIODACTYLA,CAMELIDAE,Camelus ferus,Bactrian Camel,24.25789969,4,6.001727688,14,63543,"China,Kazakhstan,Mongolia", 
RODENTIA,OCTODONTIDAE,Tympanoctomys loschalchalerosorum,Golden Vizcacha Rat,22.19067908,4,5.916339156,15,136557,Argentina,
RODENTIA,OCTODONTIDAE,Tympanoctomys aureus,Chalchalero Viscacha Rat,22.19067908,4,5.916339156,15,136714,Argentina,
PHOLIDOTA,MANIDAE,Manis pentadactyla,Chinese Pangolin,20.68665552,4,5.849285841,17,12764,"Bhutan,China,Hong Kong,India,Lao People's Democratic Republic,Myanmar,Nepal,Thailand,Taiwan, Province of China,Viet Nam", 
PHOLIDOTA,MANIDAE,Manis javanica,Sunda Pangolin,20.68642086,4,5.84927502,18,12763,"Brunei Darussalam,Indonesia,Cambodia,Lao People's Democratic Republic,Myanmar,Malaysia,Singapore,Thailand,Viet Nam", 
PRIMATES,DAUBENTONIIDAE,Daubentonia madagascariensis,Aye-aye,41.88164751,3,5.837885479,19,6302,Madagascar, 
PRIMATES,INDRIIDAE,Indri indri,Indri,20.30505119,4,5.831532912,20,10826,Madagascar, 
PROBOSCIDEA,ELEPHANTIDAE,Elephas maximus,Asian Elephant,39.66277708,3,5.784754648,21,7140,"Bangladesh,Bhutan,China,Indonesia,India,Cambodia,Lao People's Democratic Republic,Sri Lanka,Myanmar,Malaysia,Nepal,Pakistan,Thailand,Viet Nam", 
CARNIVORA,AILURIDAE,Ailurus fulgens,Red Panda,39.41042235,3,5.778529272,22,714,"Bhutan,China,India,Myanmar,Nepal", 
PILOSA,BRADYPODIDAE,Bradypus pygmaeus,Pygmy Three-toed Sloth,18.99130032,4,5.767885917,23,61925,Panama, 
PRIMATES,LORISIDAE,Nycticebus javanicus,Javan Slow Loris,18.88917616,4,5.762764394,24,39761,Indonesia, 
LAGOMORPHA,LEPORIDAE,Bunolagus monticularis,Riverine Rabbit,18.68448366,4,5.752419416,25,3326,South Africa, 
AFROSORICIDA,CHRYSOCHLORIDAE,Cryptochloris wintoni,De Winton's Golden Mole,18.58650834,4,5.747429701,26,5748,South Africa, 
PERISSODACTYLA,TAPIRIDAE,Tapirus indicus,Indian Tapir,37.63095761,3,5.733495507,27,21472,"Indonesia,Myanmar,Malaysia,Thailand", 
PERISSODACTYLA,TAPIRIDAE,Tapirus bairdii,Baird's Tapir,37.49722939,3,5.730027816,28,21471,"Belize,Colombia,Costa Rica,Guatemala,Honduras,Mexico,Nicaragua,Panama,El Salvador", 
PRIMATES,CHEIROGALEIDAE,Cheirogaleus sibreei,Sibree's Dwarf Lemur,17.36688978,4,5.683138297,29,41576,Madagascar, 
CHIROPTERA,EMBALLONURIDAE,Coleura seychellensis,Seychelles Sheath-tailed Bat,17.33001412,4,5.681128554,30,5112,Seychelles, 
DIPROTODONTIA,PSEUDOCHEIRIDAE,Pseudocheirus occidentalis,Western Ringtail Possum,17.25540362,4,5.677049847,31,18492,Australia, 
CETARTIODACTYLA,HIPPOPOTAMIDAE,Choeropsis liberiensis,Pygmy Hippopotamus,32.89037006,3,5.602572447,32,10032,"Côte d'Ivoire,Guinea,Liberia,Nigeria,Sierra Leone", 
RODENTIA,OCTODONTIDAE,Octodon pacificus,Pacific degu,15.8515884,4,5.597033641,33,15090,Chile, 
DASYUROMORPHIA,MYRMECOBIIDAE,Myrmecobius fasciatus,Numbat,31.32678353,3,5.55533764,34,14222,Australia, 
DIPROTODONTIA,POTOROIDAE,Potorous gilbertii,Gilbert's Potoroo,14.97200527,4,5.543426241,35,18107,Australia, 
PRIMATES,GALAGIDAE,Galagoides rondoensis,Rondo Dwarf Galago,14.92148105,4,5.540257929,36,40652,"Tanzania, United Republic of", 
PRIMATES,TARSIIDAE,Tarsius tumpara,Siau Island Tarsier,14.8950241,4,5.538594833,37,179234,Indonesia, 
CHIROPTERA,NATALIDAE,Natalus jamaicensis,Jamaican Greater Funnel-eared Bat,14.72050677,4,5.527554746,38,136824,Jamaica, 
RODENTIA,ABROCOMIDAE,Abrocoma boliviensis,Bolivian Chinchilla Rat,14.67901423,4,5.524911867,39,18,"Bolivia, Plurinational States of", 
SIRENIA,DUGONGIDAE,Dugong dugon,Dugong,59.29626074,2,5.485564452,40,6909,"United Arab Emirates,Australia,Bahrain,Brunei Darussalam,Cocos (Keeling) Islands,China,Djibouti,Egypt,Eritrea,Indonesia,India,Jordan,Japan,Kenya,Cambodia,Comoros,Sri Lanka,Madagascar,Mauritius,Malaysia,Mozambique,New Caledonia,Papua New Guinea,Philippines,Palau,Qatar,Saudi Arabia,Solomon Islands,Seychelles,Sudan,Singapore,Somalia,Thailand,Timor-Leste,Taiwan, Province of China,Tanzania, United Republic of,Viet Nam,Vanuatu,Yemen,Mayotte", 
DIPROTODONTIA,PHALANGERIDAE,Ailurops melanotis,Talaud Bear Cuscus,13.82470854,4,5.468884007,41,136218,Indonesia, 
CETARTIODACTYLA,BOVIDAE,Pseudoryx nghetinhensis,Saola,13.68,4,5.459074745,42,18597,"Lao People's Democratic Republic,Viet Nam", 
PRIMATES,HOMINIDAE,Pongo abelii,Sumatran Orangutan,13.67486909,4,5.458725167,43,121097935,Indonesia, 
PRIMATES,HOMINIDAE,Pongo pygmaeus,Bornean Orangutan,13.67486909,4,5.458725167,43,17975,"Indonesia,Malaysia", 
DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops handleyi,Handley's Slender Mouse Opossum,13.19468926,4,5.425456621,45,12820,Colombia, 
PRIMATES,LEMURIDAE,Hapalemur aureus,Golden Bamboo Lemur,12.92913456,4,5.40657138,46,9672,Madagascar, 
PRIMATES,LEMURIDAE,Hapalemur alaotrensis,Alaotran Gentle Lemur,12.58906535,4,5.381854173,47,9676,Madagascar, 
PRIMATES,LEMURIDAE,Varecia variegata,Black-and-white Ruffed Lemur,12.40481547,4,5.368202728,48,22918,Madagascar, 
PRIMATES,LEMURIDAE,Varecia rubra,Red Ruffed Lemur,12.34761643,4,5.363926546,49,22920,Madagascar, 
DIDELPHIMORPHIA,DIDELPHIDAE,Monodelphis unistriata,Single-striped Opossum,12.23366879,4,5.35535297,50,13703,"Argentina,Brazil", 
PERISSODACTYLA,EQUIDAE,Equus africanus,African Wild Ass,12.05033479,4,5.34140251,51,7949,"Eritrea,Ethiopia", 
DIPROTODONTIA,PHALANGERIDAE,Phalanger matanim,Telefomin Cuscus,11.99404209,4,5.337079674,52,16851,Papua New Guinea, 
PRIMATES,LEMURIDAE,Prolemur simus,Greater Bamboo Lemur,11.96151379,4,5.334573211,53,9674,Madagascar, 
RODENTIA,MURIDAE,Tokudaia muenninki,Muennink's Spiny Rat,11.77629659,4,5.320180347,54,21972,Japan, 
PERISSODACTYLA,TAPIRIDAE,Tapirus pinchaque,Mountain Tapir,24.39687841,3,5.314067811,55,21473,"Colombia,Ecuador,Peru,Venezuela, Bolivarian Republic of", 
CHIROPTERA,MOLOSSIDAE,Tomopeas ravus,Blunt-eared Bat,24.36112684,3,5.312659104,56,21982,Peru, 
PRIMATES,INDRIIDAE,Propithecus tattersalli,Tattersall's Sifaka,11.61493866,4,5.307470442,57,18352,Madagascar, 
CARNIVORA,EUPLERIDAE,Eupleres major,Western Falanouc,24.12537892,3,5.303319989,58,39547,Madagascar, 
MACROSCELIDEA,MACROSCELIDIDAE,Rhynchocyon chrysopygus,Golden-rumped Sengi,23.94177186,3,5.295985524,59,19705,Kenya, 
CETARTIODACTYLA,TAYASSUIDAE,Catagonus wagneri,Chacoan Peccary,23.88173795,3,5.29357566,60,4015,"Argentina,Bolivia, Plurinational States of,Paraguay", 
PRIMATES,HOMINIDAE,Gorilla beringei,Eastern Gorilla,11.30363127,4,5.282483166,61,39994,"Congo, The Democratic Republic of the,Rwanda,Uganda", 
PRIMATES,HOMINIDAE,Gorilla gorilla,Western Gorilla,11.30363127,4,5.282483166,61,9404,"Angola,Central African Republic,Congo,Cameroon,Gabon,Equatorial Guinea,Nigeria", 
SIRENIA,TRICHECHIDAE,Trichechus inunguis,Amazonian Manatee,47.89600835,2,5.275990125,63,22102,"Brazil,Colombia,Ecuador,Peru", 
RODENTIA,NESOMYIDAE,Dendromus kahuziensis,Mount Kahuzi African Climbing Mouse,11.13993481,4,5.269089138,64,6439,"Congo, The Democratic Republic of the", 
PRIMATES,INDRIIDAE,Propithecus candidus,Silky Sifaka,10.90963904,4,5.249936798,65,18360,Madagascar, 
EULIPOTYPHLA,TALPIDAE,Desmana moschata,Russian Desman,22.71031095,3,5.245351556,66,6506,"Belarus,Kazakhstan,Russian Federation,Ukraine", 
EULIPOTYPHLA,ERINACEIDAE,Podogymnura aureospinula,Dinagat Gymnure,22.60177975,3,5.240763664,67,17829,Philippines, 
CETARTIODACTYLA,BOVIDAE,Beatragus hunteri,Hirola,10.78490472,4,5.239408174,68,6234,Kenya, 
CHIROPTERA,HIPPOSIDERIDAE,Hipposideros hypophyllus,Leafletted Leaf-nosed Bat,10.75436651,4,5.236813512,69,10138,India, 
CHIROPTERA,PTEROPODIDAE,Aproteles bulmerae,Bulmer's Fruit Bat,10.70589115,4,5.232680954,70,1933,Papua New Guinea, 
CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera physalus,Fin Whale,22.31916835,3,5.22871724,71,2478,"United Arab Emirates,Angola,Antarctica,Argentina,Australia,Belgium,Bermuda,Brazil,Bouvet Island,Canada,Congo, The Democratic Republic of the,Congo,Chile,China,Cape Verde,Cyprus,Germany,Denmark,Algeria,Ecuador,Egypt,Spain,Fiji,Falkland Islands (Malvinas),Faroe Islands,France,Gabon,United Kingdom,Gibraltar,Greenland,Greece,South Georgia and the South Sandwich Islands,Heard Island and McDonald Islands,Croatia,Indonesia,Ireland,Israel,Isle of Man,India,Iraq,Iran, Islamic Republic of,Iceland,Italy,Japan,Korea, Democratic People's Republic of,Korea, Republic of,Lebanon,Sri Lanka,Libya,Morocco,Monaco,Madagascar,Malta,Mauritius,Mexico,Malaysia,Mozambique,Namibia,New Caledonia,Netherlands,Norway,New Zealand,Oman,Peru,Philippines,Pakistan,Saint Pierre and Miquelon,Portugal,Réunion,Russian Federation,Saudi Arabia,Seychelles,Sweden,Saint Helena, Ascension and Tristan da Cunha,Slovenia,Svalbard and Jan Mayen,Syrian Arab Republic,French Southern Territories,Tunisia,Turkey,United States,Venezuela, Bolivarian Republic of,South Africa", 
PRIMATES,INDRIIDAE,Propithecus diadema,Diademed Sifaka,10.65361804,4,5.228205415,72,18358,Madagascar, 
CHIROPTERA,VESPERTILIONIDAE,Pharotis imogene,Thomas's Big-eared Bat,10.64190877,4,5.227200135,73,16887,Papua New Guinea, 
CETARTIODACTYLA,SUIDAE,Porcula salvania,Pygmy Hog,10.64150907,4,5.227165801,74,21172,"Bangladesh,India,Nepal", 
MONOTREMATA,TACHYGLOSSIDAE,Zaglossus bartoni,Eastern Long-beaked Echidna,45.0175004,2,5.215316129,75,136552,"Indonesia,Papua New Guinea", 
EULIPOTYPHLA,ERINACEIDAE,Neohylomys hainanensis,Hainan Gymnure,21.97811475,3,5.213983772,76,10588,China, 
CETARTIODACTYLA,PHOCOENIDAE,Phocoena sinus,Vaquita,10.48392406,4,5.213536872,77,17028,Mexico, 
LAGOMORPHA,LEPORIDAE,Sylvilagus mansuetus,San Jose Brush Rabbit,10.44474209,4,5.210119141,78,21210,Mexico, 
PRIMATES,INDRIIDAE,Propithecus perrieri,Perrierâ€™s Sifaka,10.42528597,4,5.208417689,79,18361,Madagascar, 
PRIMATES,LORISIDAE,Loris tardigradus,Red Slender Loris,21.42741495,3,5.189725634,80,12375,Sri Lanka, 
CHIROPTERA,HIPPOSIDERIDAE,Hipposideros lamottei,Lamotte's Roundleaf Bat,10.13235863,4,5.182444782,81,10141,Guinea, 
CARNIVORA,VIVERRIDAE,Viverra civettina,Malabar Civet,10.11475035,4,5.180861809,82,23036,India, 
CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera musculus,Blue Whale,21.21643663,3,5.180273945,83,2477,"Angola,Argentina,Australia,Bangladesh,Benin,Bermuda,Brazil,Bahamas,Canada,Cocos (Keeling) Islands,Côte d'Ivoire,Cook Islands,Chile,Cameroon,China,Colombia,Costa Rica,Cape Verde,Djibouti,Ecuador,Western Sahara,Eritrea,Spain,Falkland Islands (Malvinas),Faroe Islands,France,Gabon,United Kingdom,Grenada,Ghana,Gibraltar,Greenland,Equatorial Guinea,Greece,South Georgia and the South Sandwich Islands,Guatemala,Indonesia,Ireland,India,Iraq,Iran, Islamic Republic of,Iceland,Japan,Kenya,Comoros,Sri Lanka,Morocco,Madagascar,Marshall Islands,Myanmar,Northern Mariana Islands,Mauritania,Mauritius,Maldives,Mexico,Malaysia,Mozambique,Namibia,New Caledonia,Nigeria,Nicaragua,Norway,New Zealand,Oman,Panama,Peru,Philippines,Pakistan,Saint Pierre and Miquelon,Pitcairn,Portugal,Palau,Réunion,Russian Federation,Seychelles,Saint Helena, Ascension and Tristan da Cunha,Senegal,Somalia,Sao Tomé and Principe,El Salvador,French Southern Territories,Togo,Thailand,Timor-Leste,Taiwan, Province of China,Tanzania, United Republic of,United States,Uruguay,Yemen,South Africa", 
RODENTIA,CAVIIDAE,Cavia intermedia,Santa Catarina Guinea Pig,10.00110409,4,5.170584362,84,136520,Brazil, 
DIPROTODONTIA,PHALANGERIDAE,Spilocuscus wilsoni,Blue-eyed Spotted Cuscus,9.873063091,4,5.158877177,85,136443,Indonesia, 
PHOLIDOTA,MANIDAE,Manis crassicaudata,Thick-tailed Pangolin,20.68665552,3,5.15613866,86,12761,"Bangladesh,India,Sri Lanka,Nepal,Pakistan", 
PHOLIDOTA,MANIDAE,Manis culionensis,Philippine Pangolin,20.68642086,3,5.156127839,87,136497,Philippines, 
DIPROTODONTIA,POTOROIDAE,Bettongia penicillata,Woylie,9.825132039,4,5.154459194,88,2785,Australia, 
CETARTIODACTYLA,PHYSETERIDAE,Physeter macrocephalus,Sperm Whale,42.23963141,2,5.15305183,89,41755,"Antigua and Barbuda,Albania,Angola,Antarctica,Argentina,Australia,Barbados,Bangladesh,Belgium,Benin,Brunei Darussalam,Bonaire, Sint Eustatius and Saba,Brazil,Bahamas,Belize,Canada,Chile,Cameroon,China,Colombia,Costa Rica,Cape Verde,Curaçao,Cyprus,Djibouti,Denmark,Dominica,Dominican Republic,Algeria,Ecuador,Egypt,Spain,Fiji,Falkland Islands (Malvinas),Micronesia, Federated States of ,Faroe Islands,France,Gabon,United Kingdom,Grenada,Ghana,Gibraltar,Greenland,Gambia,Guinea,Equatorial Guinea,Greece,Guatemala,Guinea-Bissau,Guyana,Honduras,Croatia,Haiti,Indonesia,Ireland,Israel,India,Iran, Islamic Republic of,Iceland,Italy,Jamaica,Japan,Kenya,Kiribati,Comoros,Saint Kitts and Nevis,Korea, Democratic People's Republic of,Korea, Republic of,Lebanon,Saint Lucia,Sri Lanka,Liberia,Libya,Morocco,Monaco,Saint Martin (French part),Madagascar,Marshall Islands,Mauritania,Malta,Mauritius,Maldives,Mexico,Malaysia,Mozambique,Namibia,Nigeria,Nicaragua,Netherlands,Norway,Nauru,Niue,New Zealand,Oman,Panama,Peru,Papua New Guinea,Philippines,Pakistan,Portugal,Palau,Russian Federation,Solomon Islands,Seychelles,Singapore,Saint Helena, Ascension and Tristan da Cunha,Slovenia,Sierra Leone,Senegal,Somalia,Suriname,Sao Tomé and Principe,El Salvador,Sint Maarten (Dutch part),Syrian Arab Republic,Togo,Thailand,Timor-Leste,Tunisia,Tonga,Turkey,Trinidad and Tobago,Tuvalu,Taiwan, Province of China,Tanzania, United Republic of,United States,Uruguay,Saint Vincent and the Grenadines,Venezuela, Bolivarian Republic of,Viet Nam,Vanuatu,Samoa,Yemen,South Africa", 
SIRENIA,TRICHECHIDAE,Trichechus manatus,West Indian Manatee,42.1965272,2,5.152054464,90,22103,"Antigua and Barbuda,Anguilla,Aruba,Barbados,Saint Barthélemy,Bonaire, Sint Eustatius and Saba,Brazil,Bahamas,Belize,Colombia,Costa Rica,Cuba,Curaçao,Dominica,Dominican Republic,Grenada,French Guiana,Guadeloupe,Guatemala,Guyana,Honduras,Jamaica,Saint Kitts and Nevis,Cayman Islands,Saint Lucia,Saint Martin (French part),Martinique,Montserrat,Mexico,Nicaragua,Panama,Puerto Rico,Suriname,Sint Maarten (Dutch part),Turks and Caicos Islands,Trinidad and Tobago,United States,Saint Vincent and the Grenadines,Venezuela, Bolivarian Republic of,Virgin Islands, British,Virgin Islands, U.S.", 
SIRENIA,TRICHECHIDAE,Trichechus senegalensis,Seacow,42.1965272,2,5.152054464,90,22104,"Angola,Benin,Congo, The Democratic Republic of the,Congo,Côte d'Ivoire,Cameroon,Gabon,Ghana,Gambia,Guinea,Equatorial Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Sierra Leone,Senegal,Chad,Togo", 
DIPROTODONTIA,PHALANGERIDAE,Spilocuscus rufoniger,Black-spotted Cuscus,9.759894888,4,5.148414508,92,20639,"Indonesia,Papua New Guinea", 
PRIMATES,CHEIROGALEIDAE,Microcebus gerpi,Gerp's Mouse Lemur,9.656678069,4,5.138775467,93,16971461,Madagascar, 
PRIMATES,CHEIROGALEIDAE,Microcebus mamiratra,Claire's Mouse Lemur,9.656678069,4,5.138775467,93,136206,Madagascar, 
PRIMATES,CHEIROGALEIDAE,Microcebus marohita,Marohita Mouse Lemur,9.656678069,4,5.138775467,93,46251646,Madagascar, 
RODENTIA,CAPROMYIDAE,Plagiodontia aedium,Cuvier's Hutia,20.25229519,3,5.13590644,96,17460,"Dominican Republic,Haiti", 
DIPROTODONTIA,PHASCOLARCTIDAE,Phascolarctos cinereus,Koala,41.49148988,2,5.135598179,97,16892,Australia, 
CHIROPTERA,MYSTACINIDAE,Mystacina tuberculata,New Zealand Lesser Short-tailed Bat,41.38425371,2,5.13307128,98,14261,New Zealand, 
EULIPOTYPHLA,SORICIDAE,Cryptotis nelsoni,Nelson's Small Eared Shrew,9.591371329,4,5.132628366,99,136389,Mexico, 
RODENTIA,CAPROMYIDAE,Mesocapromys nanus,Dwarf Hutia,9.398138534,4,5.114215525,100,13217,Cuba, 
PRIMATES,CHEIROGALEIDAE,Mirza coquereli,Coquerel's Giant Mouse Lemur,19.79409579,3,5.114110632,101,13584,Madagascar, 
PRIMATES,CHEIROGALEIDAE,Mirza zaza,Northern Giant Mouse Lemur,19.79409579,3,5.114110632,101,136684,Madagascar, 
RODENTIA,CAPROMYIDAE,Mesocapromys sanfelipensis,San Felipe Hutia,9.385251976,4,5.112975443,103,13218,Cuba, 
AFROSORICIDA,CHRYSOCHLORIDAE,Neamblysomus gunningi,Gunning's Golden Mole,19.45004571,3,5.097426659,104,1087,South Africa, 
AFROSORICIDA,CHRYSOCHLORIDAE,Neamblysomus julianae,Juliana's Golden Mole,19.36498504,3,5.093258548,105,1089,South Africa, 
CARNIVORA,PROCYONIDAE,Procyon pygmaeus,Pygmy Raccoon,9.168210877,4,5.091854995,106,18267,Mexico, 
LAGOMORPHA,LEPORIDAE,Pentalagus furnessi,Amami Rabbit,19.28047634,3,5.089100208,107,16559,Japan, 
LAGOMORPHA,LEPORIDAE,Romerolagus diazi,Volcano Rabbit,19.24986762,3,5.087589798,108,19742,Mexico, 
CETARTIODACTYLA,BOVIDAE,Saiga tatarica,Saiga,9.082463277,4,5.083386328,109,19832,"China,Kazakhstan,Moldova,Mongolia,Poland,Russian Federation,Turkmenistan,Ukraine,Uzbekistan", 
PRIMATES,LEMURIDAE,Eulemur mongoz,Mongoose Lemur,8.965489567,4,5.071716803,110,8202,"Comoros,Madagascar", 
PRIMATES,ATELIDAE,Oreonax flavicauda,Peruvian Yellow-tailed Woolly Monkey,8.95762429,4,5.07092724,111,39924,Peru, 
CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera borealis,Sei Whale,18.74401536,3,5.062291967,112,2475,"Angola,Argentina,Australia,Bermuda,Brazil,Bahamas,Canada,Congo, The Democratic Republic of the,Congo,Chile,Cuba,Cape Verde,Dominican Republic,Western Sahara,Spain,Falkland Islands (Malvinas),Faroe Islands,United Kingdom,Gibraltar,Greenland,South Georgia and the South Sandwich Islands,Haiti,Ireland,Iceland,Japan,Kenya,Korea, Democratic People's Republic of,Korea, Republic of,Morocco,Madagascar,Northern Mariana Islands,Mauritania,Mexico,Namibia,Norway,New Zealand,Peru,Saint Pierre and Miquelon,Portugal,Réunion,Russian Federation,Saint Helena, Ascension and Tristan da Cunha,Turks and Caicos Islands,French Southern Territories,United States,Uruguay,South Africa", 
CETARTIODACTYLA,DELPHINIDAE,Sousa teuszii,Teusz's Dolphin,8.868760792,4,5.061963015,113,20425,"Angola,Benin,Congo,Cameroon,Western Sahara,Gabon,Ghana,Gambia,Guinea,Guinea-Bissau,Mauritania,Nigeria,Senegal,Togo", 
CHIROPTERA,PHYLLOSTOMIDAE,Phyllonycteris aphylla,Jamaican Flower Bat,8.837551563,4,5.058795577,114,17173,Jamaica, 
CARNIVORA,URSIDAE,Ailuropoda melanoleuca,Giant Panda,38.23545253,2,5.0558751,115,712,China, 
AFROSORICIDA,CHRYSOCHLORIDAE,Cryptochloris zyli,Van Zyl's Golden Mole,18.58650834,3,5.054282521,116,5749,South Africa, 
CETARTIODACTYLA,SUIDAE,Sus cebifrons,Visayan Warty Pig,8.6825267,4,5.042911612,117,21175,Philippines, 
PERAMELEMORPHIA,THYLACOMYIDAE,Macrotis lagotis,Bilby,37.57952548,2,5.039016069,118,12650,Australia, 
RODENTIA,MURIDAE,Nilopegamys plumbeus,Ethiopian Water Mouse,8.632519527,4,5.037733547,119,40766,Ethiopia, 
RODENTIA,MURIDAE,Solomys ponceleti,Poncelet's Giant Rat,8.61672212,4,5.036092193,120,20333,"Papua New Guinea,Solomon Islands", 
AFROSORICIDA,CHRYSOCHLORIDAE,Chrysospalax trevelyani,Giant Golden Mole,18.23086848,3,5.035958263,121,4828,South Africa, 
PROBOSCIDEA,ELEPHANTIDAE,Loxodonta africana,African Elephant,37.3127961,2,5.032078303,122,12392,"Angola,Burkina Faso,Burundi,Benin,Botswana,Congo, The Democratic Republic of the,Central African Republic,Congo,Côte d'Ivoire,Cameroon,Eritrea,Ethiopia,Gabon,Ghana,Gambia,Guinea,Equatorial Guinea,Guinea-Bissau,Kenya,Liberia,Mali,Mauritania,Malawi,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sierra Leone,Senegal,Somalia,South Sudan,Swaziland,Chad,Togo,Tanzania, United Republic of,Uganda,South Africa,Zambia,Zimbabwe", 
DIPROTODONTIA,PETAURIDAE,Petaurus abidi,Northern Glider,8.528984568,4,5.026926883,123,16726,Papua New Guinea, 
PRIMATES,LEMURIDAE,Eulemur flavifrons,Blue-eyed Black Lemur,8.312247177,4,5.003919157,124,8211,Madagascar, 
RODENTIA,MURIDAE,Cremnomys elvira,Large Rock-rat,8.264444373,4,4.99877261,125,5514,India, 
CETARTIODACTYLA,PONTOPORIIDAE,Pontoporia blainvillei,Franciscana,35.83910599,2,4.992854305,126,17978,"Argentina,Brazil,Uruguay", 
CETARTIODACTYLA,BOVIDAE,Addax nasomaculatus,Addax,8.206347503,4,4.992481914,127,512,"Algeria,Egypt,Western Sahara,Libya,Morocco,Mauritania,Niger,Sudan,Chad,Tunisia", 
RODENTIA,CRICETIDAE,Reithrodontomys spectabilis,Cozumel Harvest Mouse,8.158702234,4,4.987293213,128,19416,Mexico, 
PRIMATES,ATELIDAE,Ateles fusciceps,Brown-headed Spider Monkey,8.108348581,4,4.981780142,129,135446,"Colombia,Ecuador,Panama", 
PRIMATES,ATELIDAE,Brachyteles hypoxanthus,Northern Muriqui,8.047572499,4,4.975085212,130,2994,Brazil, 
RODENTIA,MURIDAE,Millardia kondana,Kondana Rat,8.046594886,4,4.974977153,131,13524,India, 
RODENTIA,MURIDAE,Zyzomys pedunculatus,Macdonnell Range Rock-rat,8.042455179,4,4.97451945,132,23324,Australia, 
AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus marleyi,Marley's Golden Mole,16.97450383,3,4.968395842,133,62007,South Africa, 
RODENTIA,MURIDAE,Zyzomys palatalis,Carpentarian Rock-rat,7.94299394,4,4.963459148,134,23327,Australia, 
RODENTIA,MURIDAE,Bunomys coelestis,Lompobatang Bunomys,7.934425137,4,4.96250053,135,3329,Indonesia, 
CARNIVORA,PHOCIDAE,Monachus monachus,Mediterranean Monk Seal,16.80653843,3,4.959007259,136,13653,"Albania,Bosnia and Herzegovina,Bulgaria,Cyprus,Egypt,Western Sahara,Spain,France,Greece,Croatia,Israel,Italy,Lebanon,Libya,Montenegro,Mauritania,Portugal,Romania,Slovenia,Syrian Arab Republic,Tunisia,Turkey", 
CARNIVORA,PHOCIDAE,Neomonachus schauinslandi,Hawaiian Monk Seal,16.80653843,3,4.959007259,136,13654,"United States Minor Outlying Islands,United States", 
PRIMATES,LEPILEMURIDAE,Lepilemur septentrionalis,Sahafary Sportive Lemur,7.889074385,4,4.957411648,138,11622,Madagascar, 
CETARTIODACTYLA,GIRAFFIDAE,Okapia johnstoni,Okapi,16.48287111,3,4.94066315,139,15188,"Congo, The Democratic Republic of the,Uganda", 
RODENTIA,NESOMYIDAE,Hypogeomys antimena,Malagasy Giant Jumping Rat,16.4710254,3,4.939985359,140,10714,Madagascar, 
