Order,Family,Species,Common name,ED,GE,EDGE,Rank,Red List ID,Distirbution,
PELECANIFORMES,THRESKIORNITHIDAE,Pseudibis davisoni,White-shouldered Ibis,16.338927,4,5.625542812,17,22697531,"China,Indonesia,Cambodia,Lao People's Democratic Republic,Myanmar,Malaysia,Thailand,Viet Nam", 
GRUIFORMES,PSOPHIIDAE,Psophia obscura,Black-winged Trumpeter,16.0601175,4,5.609332152,18,45470702,Brazil, 
CHARADRIIFORMES,SCOLOPACIDAE,Calidris pygmaea,Spoon-billed Sandpiper,15.97338787,4,5.60423542,19,22693452,"Bangladesh,Canada,China,Hong Kong,India,Japan,Korea, Democratic People's Republic of,Korea, Republic of,Sri Lanka,Myanmar,Malaysia,Philippines,Russian Federation,Singapore,Thailand,Taiwan, Province of China,United States,Viet Nam", 
GALLIFORMES,MEGAPODIIDAE,Macrocephalon maleo,Maleo,32.45188,3,5.58954953,20,22678576,Indonesia, 
PODICIPEDIFORMES,PODICIPEDIDAE,Podiceps gallardoi,Hooded Grebe,15.66516667,4,5.585909435,21,22696628,"Argentina,Chile", 
CUCULIFORMES,CUCULIDAE,Centropus steerii,Black-hooded Coucal,15.05797606,4,5.548794399,22,22684225,Philippines, 
CAPRIMULGIFORMES,CAPRIMULGIDAE,Siphonorhis americana,Jamaican Poorwill,14.808981,4,5.533166919,23,22689738,Jamaica, 
PELECANIFORMES,THRESKIORNITHIDAE,Bostrychia bocagei,Dwarf Ibis,14.712093,4,5.527019393,24,22697478,Sao Tom_ and Principe, 
PASSERIFORMES,ATRICHORNITHIDAE,Atrichornis rufescens,Rufous Scrub-bird,30.400054,3,5.526251154,25,22703608,Australia, 
PASSERIFORMES,ATRICHORNITHIDAE,Atrichornis clamosus,Noisy Scrub-bird,30.400054,3,5.526251154,25,22703612,Australia, 
BUCEROTIFORMES,BUCEROTIDAE,Rhinoplax vigil,Helmeted Hornbill,14.55589872,4,5.517028628,27,22682464,"Brunei Darussalam,Indonesia,Myanmar,Malaysia,Singapore,Thailand", 
PODICIPEDIFORMES,PODICIPEDIDAE,Podiceps taczanowskii,Junin Grebe,14.42599576,4,5.508642845,28,22696623,Peru, 
PROCELLARIIFORMES,PROCELLARIIDAE,Pelecanoides garnotii,Peruvian Diving-petrel,28.41848,3,5.46106459,29,22698280,"Chile,Ecuador,Peru", 
CHARADRIIFORMES,ROSTRATULIDAE,Rostratula australis,Australian Painted-snipe,26.90162,3,5.408126293,30,22735692,Australia, 
PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates macrodactylus,Guadalupe Storm-petrel,12.9118464,4,5.405329458,31,22698530,Mexico, 
CHARADRIIFORMES,CHARADRIIDAE,Charadrius obscurus,Southern Red-breasted Plover,12.45967687,4,5.372287039,32,62290750,New Zealand, 
GRUIFORMES,RALLIDAE,Gallirallus lafresnayanus,New Caledonian Rail,12.26659828,4,5.357838191,33,22692388,New Caledonia, 
PELECANIFORMES,BALAENICIPITIDAE,Balaeniceps rex,Shoebill,51.335056,2,5.343960794,34,22697583,"Congo, The Democratic Republic of the,Central African Republic,Ethiopia,Rwanda,Sudan,South Sudan,Tanzania, United Republic of,Uganda,Zambia", 
CHARADRIIFORMES,GLAREOLIDAE,Rhinoptilus bitorquatus,Jerdon's Courser,11.857601,4,5.326523876,35,22694103,India, 
ACCIPITRIFORMES,ACCIPITRIDAE,Sarcogyps calvus,Red-headed Vulture,11.81629519,4,5.323306146,36,22695254,"Bangladesh,Bhutan,China,India,Cambodia,Lao People's Democratic Republic,Myanmar,Malaysia,Nepal,Pakistan,Thailand,Viet Nam", 
STRIGIFORMES,TYTONIDAE,Phodilus prigoginei,Congo Bay-owl,24.57222333,3,5.320948278,37,22688529,"Congo, The Democratic Republic of the", 
ACCIPITRIFORMES,ACCIPITRIDAE,Necrosyrtes monachus,Hooded Vulture,11.4921257,4,5.297687224,38,22695185,"Angola,Burkina Faso,Burundi,Benin,Botswana,Congo, The Democratic Republic of the,Central African Republic,C™te d'Ivoire,Cameroon,Djibouti,Eritrea,Ethiopia,Ghana,Gambia,Guinea,Guinea-Bissau,Kenya,Liberia,Morocco,Mali,Mauritania,Malawi,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sudan,Sierra Leone,Senegal,Somalia,South Sudan,Swaziland,Chad,Togo,Tanzania, United Republic of,Uganda,South Africa,Zambia,Zimbabwe", 
CORACIIFORMES,ALCEDINIDAE,Alcedo euryzona,Javan Blue-banded Kingfisher,11.341928,4,5.285590968,39,22726971,Indonesia, 
PASSERIFORMES,PACHYCEPHALIDAE,Coracornis sanghirensis,Sangihe Whistler,11.1945615,4,5.273578796,40,22724568,Indonesia, 
BUCEROTIFORMES,BUCEROTIDAE,Anthracoceros montani,Sulu Hornbill,11.13211145,4,5.268444499,41,22682447,Philippines, 
ACCIPITRIFORMES,ACCIPITRIDAE,Chondrohierax wilsonii,Cuban Kite,11.06712919,4,5.263073883,42,22728485,Cuba, 
GRUIFORMES,HELIORNITHIDAE,Heliopais personatus,Masked Finfoot,23.120242,3,5.262492947,43,22692181,"Bangladesh,Indonesia,India,Cambodia,Lao People's Democratic Republic,Myanmar,Malaysia,Singapore,Thailand,Viet Nam", 
PASSERIFORMES,MACROSPHENIDAE,Sylvietta chapini,Lendu Crombec,11.05115576,4,5.261749291,44,22715107,"Congo, The Democratic Republic of the", 
PROCELLARIIFORMES,DIOMEDEIDAE,Phoebastria irrorata,Waved Albatross,10.868574,4,5.246482789,45,22698320,"Chile,Colombia,Ecuador,Panama,Peru", 
COLUMBIFORMES,COLUMBIDAE,Phapitreron frontalis,Cebu Brown-dove,10.80318844,4,5.240958424,46,60543516,Philippines, 
CHARADRIIFORMES,SCOLOPACIDAE,Numenius borealis,Eskimo Curlew,10.680007,4,5.230467299,47,22693170,"Argentina,Barbados,Brazil,Canada,Chile,Mexico,Paraguay,United States,Uruguay", 
CHARADRIIFORMES,SCOLOPACIDAE,Numenius tenuirostris,Slender-billed Curlew,10.597043,4,5.223338874,48,22693185,"Albania,Austria,Azerbaijan,Bosnia and Herzegovina,Bulgaria,Canada,Switzerland,Cyprus,Czech Republic,Germany,Algeria,Egypt,Spain,France,United Kingdom,Greece,Croatia,Hungary,Israel,Iraq,Iran, Islamic Republic of,Italy,Japan,Kuwait,Kazakhstan,Libya,Morocco,Montenegro,Macedonia, the former Yugoslav Republic of,Malta,Netherlands,Poland,Palestinian Territory, Occupied,Portugal,Romania,Serbia,Russian Federation,Saudi Arabia,Tunisia,Turkey,Ukraine,Uzbekistan,Yemen", 
CHARADRIIFORMES,TURNICIDAE,Turnix novaecaledoniae,New Caledonian Buttonquail,10.5434011,4,5.218702662,49,22734789,New Caledonia, 
BUCEROTIFORMES,BUCEROTIDAE,Rhabdotorrhinus waldeni,Rufous-headed Hornbill,10.5040698,4,5.215289591,50,22682517,Philippines, 
CHARADRIIFORMES,CHARADRIIDAE,Vanellus gregarius,Sociable Lapwing,10.46976521,4,5.212303183,51,22694053,"United Arab Emirates,Afghanistan,Armenia,Austria,Azerbaijan,Belgium,Bulgaria,Bahrain,Belarus,Central African Republic,Switzerland,Cameroon,Cyprus,Czech Republic,Germany,Denmark,Egypt,Eritrea,Spain,Ethiopia,Finland,France,United Kingdom,Georgia,Greece,Hungary,Ireland,Israel,India,Iraq,Iran, Islamic Republic of,Italy,Jordan,Kyrgyzstan,Kuwait,Kazakhstan,Lebanon,Sri Lanka,Luxembourg,Morocco,Malta,Maldives,Netherlands,Oman,Pakistan,Poland,Palestinian Territory, Occupied,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Seychelles,Sudan,Sweden,Slovenia,Slovakia,Somalia,Syrian Arab Republic,Chad,Tajikistan,Turkmenistan,Turkey,Uzbekistan,Yemen", 
CHARADRIIFORMES,CHARADRIIDAE,Vanellus macropterus,Javan Lapwing,10.45300375,4,5.210840754,52,22693962,Indonesia, 
PELECANIFORMES,THRESKIORNITHIDAE,Nipponia nippon,Asian Crested Ibis,21.8918176,3,5.210221078,53,22697548,"China,Japan,Korea, Democratic People's Republic of,Korea, Republic of,Russian Federation,Taiwan, Province of China", 
GRUIFORMES,RALLIDAE,Sarothrura ayresi,White-winged Flufftail,10.2885583,4,5.196378395,54,22692245,"Ethiopia,South Africa,Zambia,Zimbabwe", 
MUSOPHAGIFORMES,MUSOPHAGIDAE,Tauraco bannermani,Bannerman's Turaco,21.496795,3,5.192814396,55,22688340,Cameroon, 
PASSERIFORMES,HIRUNDINIDAE,Eurochelidon sirintarae,White-eyed River Martin,10.20799246,4,5.189215859,56,22712042,Thailand, 
PASSERIFORMES,HYLOCITREIDAE,Hylocitrea bonthaina,Southern Hylocitrea,21.220926,3,5.180475999,57,103867212,Indonesia, 
ACCIPITRIFORMES,ACCIPITRIDAE,Trigonoceps occipitalis,White-headed Vulture,9.966828602,4,5.167463857,58,22695250,"Angola,Burkina Faso,Burundi,Benin,Botswana,Congo, The Democratic Republic of the,Central African Republic,C™te d'Ivoire,Cameroon,Djibouti,Eritrea,Ethiopia,Gabon,Ghana,Gambia,Guinea,Guinea-Bissau,Kenya,Mali,Mauritania,Malawi,Mozambique,Namibia,Niger,Rwanda,Sudan,Senegal,Somalia,South Sudan,Chad,Togo,Tanzania, United Republic of,Uganda,South Africa,Zambia,Zimbabwe", 
PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates homochroa,Ashy Storm-petrel,20.826679,3,5.162574571,59,22698562,"Ecuador,Mexico,United States", 
GRUIFORMES,GRUIDAE,Leucogeranus leucogeranus,Siberian Crane,9.903283,4,5.161652659,60,22692053,"Afghanistan,Azerbaijan,China,Hong Kong,India,Iran, Islamic Republic of,Jordan,Japan,Korea, Republic of,Kazakhstan,Mongolia,Pakistan,Russian Federation,Turkmenistan,Uzbekistan", 
PROCELLARIIFORMES,OCEANITIDAE,Nesofregetta fuliginosa,Polynesian Storm-petrel,20.535552,3,5.149146693,61,22698471,"Chile,Fiji,Kiribati,New Caledonia,Niue,French Polynesia,Pitcairn,Solomon Islands,Tokelau,Tonga,Tuvalu,United States Minor Outlying Islands,Vanuatu,Wallis and Futuna,Samoa", 
ACCIPITRIFORMES,ACCIPITRIDAE,Eutriorchis astur,Madagascar Serpent-eagle,20.2628567,3,5.136403275,62,22695336,Madagascar, 
COLUMBIFORMES,COLUMBIDAE,Claravis geoffroyi,Purple-winged Ground-dove,9.478498275,4,5.121914097,63,22690819,"Argentina,Brazil,Paraguay", 
STRUTHIONIFORMES,STRUTHIONIDAE,Struthio molybdophanes,Somali Ostrich,40.8186375,2,5.119636474,64,22732795,"Djibouti,Ethiopia,Kenya,Somalia", 
PASSERIFORMES,RHINOCRYPTIDAE,Merulaxis stresemanni,Stresemann's Bristlefront,9.433879469,4,5.117646875,65,22703477,Brazil, 
OTIDIFORMES,OTIDIDAE,Sypheotides indicus,Lesser Florican,19.52633693,3,5.101150331,66,22692024,"India,Nepal,Pakistan", 
CHARADRIIFORMES,RECURVIROSTRIDAE,Himantopus novaezelandiae,Black Stilt,9.075958,4,5.082740912,67,22693690,New Zealand, 
GRUIFORMES,RALLIDAE,Pareudiastes silvestris,Makira Moorhen,9.054193,4,5.080578484,68,22692857,Solomon Islands, 
OTIDIFORMES,OTIDIDAE,Ardeotis nigriceps,Great Indian Bustard,8.988413,4,5.074014443,69,22691932,"India,Pakistan", 
GRUIFORMES,RALLIDAE,Cyanolimnas cerverai,Zapata Rail,8.885214387,4,5.063628867,70,22692737,Cuba, 
SULIFORMES,SULIDAE,Papasula abbotti,Abbott's Booby,18.68152,3,5.059121666,71,22696649,"Australia,Christmas Island,Indonesia,Mauritius,Seychelles", 
GRUIFORMES,RALLIDAE,Pareudiastes pacificus,Samoan Moorhen,8.789357768,4,5.053884576,72,22692854,Samoa, 
ACCIPITRIFORMES,ACCIPITRIDAE,Neophron percnopterus,Egyptian Vulture,18.5556492,3,5.052705748,73,22695180,"Andorra,United Arab Emirates,Afghanistan,Albania,Armenia,Angola,Austria,Azerbaijan,Bosnia and Herzegovina,Bangladesh,Belgium,Burkina Faso,Bulgaria,Benin,Botswana,Congo, The Democratic Republic of the,Central African Republic,Switzerland,C™te d'Ivoire,Cameroon,China,Cape Verde,Cyprus,Czech Republic,Djibouti,Denmark,Algeria,Estonia,Egypt,Western Sahara,Eritrea,Spain,Ethiopia,Finland,France,United Kingdom,Georgia,Ghana,Gibraltar,Gambia,Guinea,Greece,Guinea-Bissau,Croatia,Hungary,Israel,India,Iraq,Iran, Islamic Republic of,Italy,Jordan,Kenya,Kyrgyzstan,Kuwait,Kazakhstan,Lebanon,Sri Lanka,Libya,Morocco,Moldova,Montenegro,Macedonia, the former Yugoslav Republic of,Mali,Myanmar,Mongolia,Mauritania,Malta,Mozambique,Namibia,Niger,Nigeria,Norway,Nepal,Oman,Pakistan,Poland,Palestinian Territory, Occupied,Portugal,Qatar,Romania,Serbia,Russian Federation,Saudi Arabia,Sudan,Sweden,Slovenia,Svalbard and Jan Mayen,Slovakia,Senegal,Somalia,South Sudan,Syrian Arab Republic,Chad,Togo,Tajikistan,Turkmenistan,Tunisia,Turkey,Tanzania, United Republic of,Ukraine,Uganda,Uzbekistan,Yemen,South Africa,Zimbabwe", 
PODICIPEDIFORMES,PODICIPEDIDAE,Rollandia microptera,Titicaca Grebe,18.455915,3,5.047592679,74,22696533,"Bolivia, Plurinational States of,Peru", 
PASSERIFORMES,DASYORNITHIDAE,Dasyornis longirostris,Western Bristlebird,18.194912,3,5.034086786,75,22704502,Australia, 
PASSERIFORMES,DASYORNITHIDAE,Dasyornis brachypterus,Eastern Bristlebird,18.16695,3,5.032628983,76,22704507,Australia, 
ACCIPITRIFORMES,ACCIPITRIDAE,Haliaeetus vociferoides,Madagascar Fish-eagle,8.419427,4,5.015362981,77,22695121,"Madagascar,Mauritius", 
CICONIIFORMES,CICONIIDAE,Leptoptilos dubius,Greater Adjutant,17.52964083,3,4.998813198,78,22697721,"Bangladesh,India,Cambodia,Lao People's Democratic Republic,Myanmar,Nepal,Pakistan,Thailand,Viet Nam", 
MESITORNITHIFORMES,MESITORNITHIDAE,Monias benschi,Subdesert Mesite,36.012886,2,4.997560483,79,22692971,Madagascar, 
COLUMBIFORMES,COLUMBIDAE,Otidiphaps insularis,Black-naped Pheasant-pigeon,17.28782688,3,4.985677182,80,22726273,Papua New Guinea, 
COLUMBIFORMES,COLUMBIDAE,Alopecoenas erythropterus,Polynesian Ground-dove,8.142801337,4,4.985555553,81,22691030,French Polynesia, 
COLUMBIFORMES,COLUMBIDAE,Gallicolumba menagei,Sulu Bleeding-heart,8.060224992,4,4.976482676,82,22691005,Philippines, 
COLUMBIFORMES,COLUMBIDAE,Gallicolumba platenae,Mindoro Bleeding-heart,8.047440989,4,4.975070676,83,22690985,Philippines, 
COLUMBIFORMES,COLUMBIDAE,Gallicolumba keayi,Negros Bleeding-heart,8.005161948,4,4.970386685,84,22690988,Philippines, 
PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus bryani,Bryan's Shearwater,7.884596519,4,4.956907771,85,45354718,"Japan,United States Minor Outlying Islands", 
ACCIPITRIFORMES,SAGITTARIIDAE,Sagittarius serpentarius,Secretarybird,34.41237788,2,4.953355778,86,22696221,"Angola,Burkina Faso,Burundi,Benin,Botswana,Congo, The Democratic Republic of the,Central African Republic,C™te d'Ivoire,Cameroon,Djibouti,Eritrea,Ethiopia,Ghana,Gambia,Guinea-Bissau,Kenya,Liberia,Lesotho,Mali,Mauritania,Malawi,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sudan,Senegal,Somalia,South Sudan,Swaziland,Chad,Togo,Tanzania, United Republic of,Uganda,South Africa,Zambia,Zimbabwe", 
PASSERIFORMES,PYCNONOTIDAE,Thapsinillas platenae,Sangihe Golden Bulbul,7.813238631,4,4.948843703,87,103842251,Indonesia, 
PROCELLARIIFORMES,PROCELLARIIDAE,Pseudobulweria becki,Beck's Petrel,7.575191,4,4.921461989,88,22697913,"Papua New Guinea,Solomon Islands,Vanuatu,Wallis and Futuna", 
GRUIFORMES,PSOPHIIDAE,Psophia dextralis,Olive-winged Trumpeter,16.0601175,3,4.916184971,89,45470698,Brazil, 
CAPRIMULGIFORMES,TROCHILIDAE,Sephanoides fernandensis,Juan Fernandez Firecrown,7.479355715,4,4.910223192,90,22687863,Chile, 
ACCIPITRIFORMES,ACCIPITRIDAE,Nisaetus floris,Flores Hawk-eagle,7.4435285,4,4.905989012,91,22732096,Indonesia, 
PASSERIFORMES,MACROSPHENIDAE,Macrosphenus pulitzeri,Pulitzer's Longbill,15.832729,3,4.902766688,92,22715162,Angola, 
PASSERIFORMES,GRALLARIIDAE,Grallaria fenwickorum,Urrao Antpitta,7.415526688,4,4.902667137,93,22736345,Colombia, 
PELECANIFORMES,ARDEIDAE,Ardea insignis,White-bellied Heron,7.400698214,4,4.900903545,94,22697021,"Bangladesh,Bhutan,India,Myanmar,Nepal", 
STRIGIFORMES,STRIGIDAE,Heteroglaux blewitti,Forest Owlet,15.65705294,3,4.892275269,95,22689335,India, 
PASSERIFORMES,GRALLARIIDAE,Grallaria chthonia,Tachira Antpitta,7.298385414,4,4.88864969,96,22703255,"Venezuela, Bolivarian Republic of", 
CUCULIFORMES,CUCULIDAE,Neomorphus radiolosus,Banded Ground-cuckoo,15.58335933,3,4.887841285,97,22684473,"Colombia,Ecuador", 
PASSERIFORMES,DICAEIDAE,Dicaeum quadricolor,Cebu Flowerpecker,7.259189635,4,4.883915198,98,22717507,Philippines, 
COLUMBIFORMES,COLUMBIDAE,Columbina cyanopis,Blue-eyed Ground-dove,7.218962542,4,4.879032712,99,22690804,Brazil, 
STRIGIFORMES,STRIGIDAE,Glaucidium mooreorum,Pernambuco Pygmy-owl,7.209632422,4,4.877896873,100,22733081,Brazil, 
PSITTACIFORMES,PSITTACIDAE,Lathamus discolor,Swift Parrot,7.135915472,4,4.868876992,101,22685219,Australia, 
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea dabbenena,Tristan Albatross,7.118788,4,4.866769604,102,22728364,"Angola,Argentina,Brazil,Namibia,Saint Helena, Ascension and Tristan da Cunha,Uruguay,South Africa", 
PROCELLARIIFORMES,PROCELLARIIDAE,Pterodroma caribbaea,Jamaican Petrel,7.117933882,4,4.866664396,103,22698097,"Bahamas,Dominica,Guadeloupe,Jamaica", 
CHARADRIIFORMES,CHARADRIIDAE,Thinornis novaeseelandiae,Shore Plover,15.20017572,3,4.864463631,104,22693899,New Zealand, 
PROCELLARIIFORMES,PROCELLARIIDAE,Pseudobulweria macgillivrayi,Fiji Petrel,7.096915,4,4.864071847,105,22697935,Fiji, 
COLUMBIFORMES,COLUMBIDAE,Leptotila wellsi,Grenada Dove,7.071976174,4,4.860987054,106,22690874,Grenada, 
PASSERIFORMES,TYRANNIDAE,Calyptura cristata,Kinglet Calyptura,7.027632,4,4.855478313,107,22700827,Brazil, 
SULIFORMES,PHALACROCORACIDAE,Phalacrocorax onslowi,Chatham Shag,7.012732,4,4.853620499,108,22696861,New Zealand, 
PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus mauretanicus,Balearic Shearwater,6.976273,4,4.849059982,109,22728432,"Albania,Bosnia and Herzegovina,Belgium,Germany,Denmark,Algeria,Spain,Faroe Islands,France,United Kingdom,Gibraltar,Greece,Croatia,Ireland,Israel,Italy,Libya,Morocco,Monaco,Montenegro,Malta,Netherlands,Norway,Poland,Portugal,Sweden,Slovenia,Tunisia", 
PASSERIFORMES,MELIPHAGIDAE,Gymnomyza aubryana,Crow Honeyeater,6.94161425,4,4.844705283,110,22704320,New Caledonia, 
PELECANIFORMES,THRESKIORNITHIDAE,Platalea minor,Black-faced Spoonbill,14.722724,3,4.834548596,111,22697568,"Brunei Darussalam,China,Hong Kong,Japan,Cambodia,Korea, Democratic People's Republic of,Korea, Republic of,Macao,Philippines,Russian Federation,Thailand,Taiwan, Province of China,Viet Nam", 
PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus auricularis,Townsend's Shearwater,6.770893,4,4.822973809,112,22698235,"Guam,Northern Mariana Islands,Mexico,Panama,French Southern Territories,United States Minor Outlying Islands", 
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea amsterdamensis,Amsterdam Albatross,6.761784,4,4.821800927,113,22698310,French Southern Territories, 
PELECANIFORMES,THRESKIORNITHIDAE,Threskiornis bernieri,Madagascar Sacred Ibis,14.269815,3,4.805319546,114,22731855,"Madagascar,Seychelles", 
GALLIFORMES,MEGAPODIIDAE,Leipoa ocellata,Malleefowl,29.447306,2,4.802291878,115,22678646,Australia, 
PASSERIFORMES,THAMNOPHILIDAE,Myrmotherula snowi,Alagoas Antwren,6.584022763,4,4.798632489,116,22724407,Brazil, 
PASSERIFORMES,FURNARIIDAE,Aphrastura masafucrae,Masafuera Rayadito,6.570432,4,4.796838855,117,22702156,Chile, 
PASSERIFORMES,CORVIDAE,Cissa thalassina,Javan Green Magpie,6.486376,4,4.785673558,118,22724821,Indonesia, 
CICONIIFORMES,CICONIIDAE,Ciconia boyciana,Oriental Stork,13.962842,3,4.785011469,119,22697695,"Bangladesh,China,Hong Kong,India,Japan,Korea, Democratic People's Republic of,Korea, Republic of,Myanmar,Mongolia,Philippines,Russian Federation,Taiwan, Province of China", 
CICONIIFORMES,CICONIIDAE,Ciconia stormi,Storm's Stork,13.899281,3,4.780754498,120,22697685,"Brunei Darussalam,Indonesia,Myanmar,Malaysia,Thailand", 
PSITTACIFORMES,CACATUIDAE,Cacatua haematuropygia,Philippine Cockatoo,6.446171039,4,4.780288668,121,22684795,Philippines, 
PROCELLARIIFORMES,PROCELLARIIDAE,Pseudobulweria aterrima,Mascarene Petrel,6.443074,4,4.779872658,122,22697896,"Mauritius,R_union", 
PSITTACIFORMES,PSITTACIDAE,Cyanopsitta spixii,Spix's Macaw,6.436902289,4,4.779043125,123,22685533,Brazil, 
STRIGIFORMES,STRIGIDAE,Otus siaoensis,Siau Scops-owl,6.415956377,4,4.776222668,124,22728599,Indonesia, 
MESITORNITHIFORMES,MESITORNITHIDAE,Mesitornis variegatus,White-breasted Mesite,28.590272,2,4.77374002,125,22692949,Madagascar, 
MESITORNITHIFORMES,MESITORNITHIDAE,Mesitornis unicolor,Brown Mesite,28.590272,2,4.77374002,125,22692966,Madagascar, 
CORACIIFORMES,BRACHYPTERACIIDAE,Brachypteracias leptosomus,Short-legged Ground-roller,28.526787,2,4.771592246,127,22682931,Madagascar, 
GALLIFORMES,MEGAPODIIDAE,Aepypodius bruijnii,Waigeo Brush-turkey,13.666186,3,4.764986114,128,22678559,Indonesia, 
COLUMBIFORMES,COLUMBIDAE,Columba argentina,Silvery Pigeon,6.330518,4,4.764634904,129,22690195,"Indonesia,Malaysia", 
STRIGIFORMES,STRIGIDAE,Otus feae,Annobon Scops-owl,6.30011116,4,4.760478298,130,61915272,Equatorial Guinea, 
PASSERIFORMES,TROGLODYTIDAE,Thryophilus nicefori,Niceforo's Wren,6.255192781,4,4.75430618,131,22711458,Colombia, 
OTIDIFORMES,OTIDIDAE,Neotis ludwigii,Ludwig's Bustard,13.369393,3,4.744542,132,22691910,"Angola,Botswana,Lesotho,Namibia,South Africa", 
ACCIPITRIFORMES,ACCIPITRIDAE,Gyps africanus,White-backed Vulture,6.153582,4,4.740201933,133,22695189,"Angola,Burkina Faso,Burundi,Benin,Botswana,Congo, The Democratic Republic of the,Central African Republic,C™te d'Ivoire,Cameroon,Eritrea,Ethiopia,Ghana,Gambia,Guinea,Guinea-Bissau,Kenya,Liberia,Lesotho,Mali,Mauritania,Malawi,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sudan,Sierra Leone,Senegal,Somalia,South Sudan,Swaziland,Chad,Togo,Tanzania, United Republic of,Uganda,South Africa,Zambia,Zimbabwe", 
PASSERIFORMES,MIMIDAE,Toxostoma guttatum,Cozumel Thrasher,6.149314868,4,4.739605252,134,22711105,Mexico, 
PASSERIFORMES,TURDIDAE,Turdus xanthorhynchus,Principe Thrush,6.105734632,4,4.733490875,135,22736414,Sao Tom_ and Principe, 
GRUIFORMES,RALLIDAE,Porphyrio hochstetteri,South Island Takahe,13.1619238,3,4.729998482,136,22692808,New Zealand, 
PASSERIFORMES,ALAUDIDAE,Heteromirafra archeri,Liben Lark,6.043192,4,4.724650199,137,84543703,"Ethiopia,Somalia", 
PASSERIFORMES,THAMNOPHILIDAE,Terenura sicki,Orange-bellied Antwren,5.980643688,4,4.715729854,138,22701646,Brazil, 
GALLIFORMES,PHASIANIDAE,Ophrysia superciliosa,Himalayan Quail,5.961924394,4,4.713044652,139,22679141,India, 
PASSERIFORMES,PARDALOTIDAE,Pardalotus quadragintus,Forty-spotted Pardalote,12.912793,3,4.712250318,140,22704493,Australia, 
COLUMBIFORMES,COLUMBIDAE,Geotrygon purpurata,Purple Quail-dove,12.88050616,3,4.709926963,141,22728282,"Colombia,Ecuador", 
