Order,Family,Species,ED,GE,EDGE,EDGE Rank,Red List ID,Distribution,
SCLERACTINIA,DENDROPHYLLIIDAE,Turbinaria reniformis,16.14904673,2,4.228236949,19,133697,Red Sea across the Indian Ocean to the Central Pacific, 
SCLERACTINIA,DENDROPHYLLIIDAE,Turbinaria patula,16.09104885,2,4.224849229,20,133177,Sub-tropical latitudes across Southeast Asia and Oceania, 
SCLERACTINIA,DENDROPHYLLIIDAE,Turbinaria bifrons,16.05377928,2,4.222666199,21,132957,Southeastern Asia and Oceania, 
SCLERACTINIA,SIDERASTREIDAE,Horastrea indica,16.03679328,2,4.221669677,22,133529,African coastlines in the West Indian Ocean, 
SCLERACTINIA,MEANDRINIDAE,Ctenella chagius,7.415637835,3,4.209533164,23,133701,Western-Central Indian Ocean (Chagos archipelago), 
SCLERACTINIA,DENDROPHYLLIIDAE,Turbinaria stellulata,15.77543067,2,4.206209717,24,133403,Indian and Pacific Oceans, 
SCLERACTINIA,POCILLOPORIDAE,Pocillopora fungiformis,7.270032519,3,4.192079983,25,133552,Madagascar, 
SCLERACTINIA,MERULINIDAE,Hydnophora bonsai,6.544878092,3,4.100310476,26,133108,small range in Western Pacific, 
SCLERACTINIA,FUNGIIDAE,Cantharellus noumeae,6.348348042,3,4.073917073,27,133384,"New caledonia, Oceania", 
SCLERACTINIA,FUNGIIDAE,Lithophyllon ranjithi,6.347142788,3,4.073753043,28,133517,Northeast Borneo, 
SCLERACTINIA,MEANDRINIDAE,Dendrogyra cylindrus,13.40658112,2,4.053979486,29,133124,Western Atlantic, 
SCLERACTINIA,AGARICIIDAE,Pachyseris involuta,13.34484775,2,4.049685197,30,133664,Western pacific, 
SCLERACTINIA,SIDERASTREIDAE,Anomastraea irregularis,13.19305826,2,4.039047351,31,133484,"coast of East Africa, Madagascar and the Central Indian Ocean", 
SCLERACTINIA,EUPHYLLIDAE,Physogyra lichtensteini,12.32702392,2,3.976088209,32,133456,East African coastline to CentralWest Pacific, 
SCLERACTINIA,AGARICIIDAE,Pachyseris rugosa,12.01815973,2,3.952639646,33,133453,East african coastline to Australia and Fiji in the Pacific ocean, 
SCLERACTINIA,PORITIDAE,Porites eridani,5.489485321,3,3.949624766,34,132897,Southeast Asia in the Indo-pacific, 
SCLERACTINIA,PORITIDAE,Porites desilveri,5.450089209,3,3.943535503,35,132959,Sri Lanka and southernmost India, 
SCLERACTINIA,PORITIDAE,Porites ornata,5.255064678,3,3.912833026,36,133301,Southeast Asia and Northern Australasia, 
SCLERACTINIA,EUPHYLLIDAE,Nemenzophyllia turbida,11.408896,2,3.904707996,37,133219,East Indian Ocean to West Pacific Ocean, 
SCLERACTINIA,FAVIIDAE,Montastrea multipunctata,11.23550012,2,3.890635933,38,133374,Pacific, 
SCLERACTINIA,MEANDRINIDAE,Dichocoenia stokesii,10.6945461,2,3.845416949,39,133102,"Caribbean Sea, Gulf of Mexico and Eastern Pacific", 
SCLERACTINIA,EUPHYLLIDAE,Plerogyra discus,10.33303569,2,3.814016334,40,132974,South Indo-Pacific and the Western Pacific Ocean, 
SCLERACTINIA,FUNGIIDAE,Heliofungia actiniformis,10.29736846,2,3.81086418,41,133269,"Indo-pacific including Sri Lanka, Japan and Australia", 
SCLERACTINIA,EUPHYLLIDAE,Euphyllia ancora,9.461487289,2,3.733994998,42,133173,Central Indian Ocean to the Western Pacific, 
SCLERACTINIA,EUPHYLLIDAE,Euphyllia paraancora,9.421291327,2,3.730145318,43,133289,Indo-pacific, 
SCLERACTINIA,PORITIDAE,Alveopora daedalea,9.243625011,2,3.712949923,44,133093,Indian and Pacific Oceans, 
SCLERACTINIA,FAVIIDAE,Montastraea franksi,9.173294998,2,3.706060511,45,133012,"Caribbean Sea, Gulf of Mexico and Western Atlantic Ocean", 
SCLERACTINIA,PORITIDAE,Alveopora japonica,9.040324357,2,3.692903781,46,132865,Limited range in Yellow sea and Northwest Pacific ocean, 
SCLERACTINIA,POCILLOPORIDAE,Seriatopora aculeata,8.872260953,2,3.676023262,47,133526,Indian and West Pacific oceans, 
SCLERACTINIA,PORITIDAE,Alveopora verrilliana,8.833704986,2,3.67211013,48,133156,Red sea and much of the Indo-pacific, 
SCLERACTINIA,OCULINIDAE,Oculina varicosa,8.819057282,2,3.670619479,49,133165,Western Atlantic including Gulf or Mexico and Caribbean sea, 
SCLERACTINIA,PORITIDAE,Alveopora fenestrata,8.817499588,2,3.670460827,50,133523,West Indian Ocean to Central Pacific, 
