Order,Family,Species,Common name,ED,GE,EDGE,EDGE rank,Red List ID,Distribution,
SQUAMATA,GEKKONIDAE,Uroplatus pietschmanni,NA,35.24940203,3,5.669864427,61,172943,Madagascar, 
SQUAMATA,GEKKONIDAE,Paragehyra gabriellae,NA,34.34445908,3,5.644583177,62,172827,Madagascar, 
SQUAMATA,GEKKONIDAE,Cnemaspis anaikattiensis,NA,16.66981575,4,5.644446581,63,178566,India, 
SQUAMATA,TROPIDURIDAE,Leiocephalus rhutidira,NA,16.66830958,4,5.644361338,64,75317710,Haiti, 
SQUAMATA,SPHAERODACTYLIDAE,Sphaerodactylus lazelli,NA,16.49997806,4,5.634788349,65,75605475,Haiti, 
SQUAMATA,TROPIDURIDAE,Leiocephalus pratensis,NA,16.1739038,4,5.615979733,66,75312135,Haiti, 
SQUAMATA,XENOSAURIDAE,Xenosaurus platyceps,NA,33.27909506,3,5.613977237,67,64373,Mexico, 
SQUAMATA,DACTYLOIDAE,Anolis roosevelti,Roosevelt's Giant Anole,16.13525035,4,5.613726488,68,1319,"Puerto Rico,Virgin Islands, British,Virgin Islands, U.S.", 
SQUAMATA,SPHAERODACTYLIDAE,Sphaerodactylus sommeri,NA,16.05942311,4,5.609291448,69,75605940,Haiti, 
SQUAMATA,SPHAERODACTYLIDAE,Sphaerodactylus schuberti,NA,15.99040865,4,5.60523771,70,75605887,Dominican Republic, 
SQUAMATA,SPHAERODACTYLIDAE,Sphaerodactylus williamsi,Haitian Striped Sphaero,15.9477117,4,5.602721544,71,178322,Haiti, 
SQUAMATA,SPHAERODACTYLIDAE,Sphaerodactylus elasmorhynchus,NA,15.94086289,4,5.602317348,72,75605414,Haiti, 
SQUAMATA,LEPTOTYPHLOPIDAE,Mitophis asbolepis,NA,15.56319129,4,5.579771563,73,75600764,Dominican Republic, 
SQUAMATA,EUBLEPHARIDAE,Goniurosaurus kuroiwae,Tokashiki Gecko,32.11055013,3,5.579293508,74,98152257,Japan, 
SQUAMATA,LACERTIDAE,Acanthodactylus spinicauda,Doumergue's Fringe-fingered Lizard,15.41539252,4,5.570808185,75,61463,Algeria, 
SQUAMATA,SPHAERODACTYLIDAE,Sphaerodactylus epiurus,NA,15.39653803,4,5.569658939,76,75605435,Dominican Republic, 
SQUAMATA,PHYLLODACTYLIDAE,Phyllodactylus pulcher,NA,15.1302909,4,5.553287649,77,48443321,Barbados, 
SQUAMATA,GEKKONIDAE,Dierogekko poumensis,Poum Striped Gecko,15.11145845,4,5.552119446,78,176178,New Caledonia, 
SQUAMATA,LACERTIDAE,Gallotia auaritae,La Palma Giant Lizard,15.0762954,4,5.549934574,79,61501,Spain, 
SQUAMATA,SCINCIDAE,Brachymeles cebuensis,Cebu Small Worm Skink,15.06323049,4,5.549121562,80,169811,Philippines, 
SQUAMATA,CHAMAELEONIDAE,Kinyongia mulyai,NA,14.9778645,4,5.543793018,81,75976903,"Congo, The Democratic Republic of the", 
SQUAMATA,LACERTIDAE,Acanthodactylus harranensis,NA,14.87700399,4,5.537460495,82,164562,Turkey, 
SQUAMATA,LEPTOTYPHLOPIDAE,Mitophis leptipileptus,NA,14.74809293,4,5.529307996,83,75601408,Haiti, 
SQUAMATA,GYMNOPHTHALMIDAE,Ptychoglossus danieli,NA,14.73658671,4,5.528577087,84,29409,Colombia, 
TESTUDINES,DERMOCHELYIDAE,Dermochelys coriacea,Leatherback,61.68656626,2,5.524441532,85,6494,"Antigua and Barbuda,Anguilla,Albania,Angola,Argentina,American Samoa,Australia,Aruba,Bosnia and Herzegovina,Barbados,Bangladesh,Bahrain,Benin,Bermuda,Brunei Darussalam,Bonaire, Sint Eustatius and Saba,Brazil,Bahamas,Belize,Canada,Congo, The Democratic Republic of the,Congo,Côte d'Ivoire,Chile,Cameroon,China,Colombia,Costa Rica,Cuba,Curaçao,Cyprus,Dominica,Dominican Republic,Ecuador,Egypt,Eritrea,Spain,Fiji,Micronesia, Federated States of ,France,Gabon,United Kingdom,Grenada,French Guiana,Ghana,Gambia,Guinea,Guadeloupe,Equatorial Guinea,Greece,Guatemala,Guam,Guinea-Bissau,Guyana,Honduras,Croatia,Haiti,Indonesia,Ireland,Israel,India,Italy,Jamaica,Japan,Kenya,Cambodia,Kiribati,Comoros,Saint Kitts and Nevis,Korea, Democratic People's Republic of,Korea, Republic of,Lebanon,Saint Lucia,Sri Lanka,Liberia,Libya,Morocco,Montenegro,Saint Martin (French part),Madagascar,Marshall Islands,Myanmar,Northern Mariana Islands,Martinique,Mauritania,Montserrat,Mauritius,Mexico,Malaysia,Mozambique,Namibia,New Caledonia,Nigeria,Nicaragua,New Zealand,Panama,Peru,French Polynesia,Papua New Guinea,Philippines,Puerto Rico,Portugal,Palau,Russian Federation,Solomon Islands,Seychelles,Saint Helena, Ascension and Tristan da Cunha,Slovenia,Sierra Leone,Senegal,Suriname,Sao Tomé and Principe,El Salvador,Sint Maarten (Dutch part),Syrian Arab Republic,Turks and Caicos Islands,French Southern Territories,Togo,Thailand,Tunisia,Tonga,Trinidad and Tobago,Tuvalu,Taiwan, Province of China,Tanzania, United Republic of,United States,Uruguay,Saint Vincent and the Grenadines,Venezuela, Bolivarian Republic of,Virgin Islands, British,Virgin Islands, U.S.,Samoa,Mayotte,South Africa", 
SQUAMATA,SPHAERODACTYLIDAE,Saurodactylus fasciatus,Banded Toed Gecko,61.34821555,2,5.519029413,86,61568,Morocco, 
SQUAMATA,LACERTIDAE,Gallotia intermedia,Tenerife Speckled Lizard,14.5666458,4,5.517719258,87,61505,Spain, 
SQUAMATA,GEKKONIDAE,Phelsuma masohoala,NA,14.50845721,4,5.513974224,88,172803,Madagascar, 
SQUAMATA,LEPTOTYPHLOPIDAE,Mitophis calypso,NA,14.50372458,4,5.513669013,89,75601065,Dominican Republic, 
SQUAMATA,SCINCIDAE,Barkudia insularis,Madras Spotted Skink,14.50316438,4,5.513632879,90,2593,India, 
SQUAMATA,PHYLLODACTYLIDAE,Homonota taragui,NA,14.41801277,4,5.508125209,91,56234213,Argentina, 
SQUAMATA,SCINCIDAE,Pseudoacontias menamainty,NA,14.32256119,4,5.501915052,92,172834,Madagascar, 
SQUAMATA,GEKKONIDAE,Phelsuma antanosy,NA,14.26455249,4,5.498122032,93,63658,Madagascar, 
SQUAMATA,LACERTIDAE,Acanthodactylus beershebensis,Be’er Sheva Fringe-fingered Lizard,14.22309877,4,5.495402653,94,61454,"Israel,Palestinian Territory, Occupied", 
SQUAMATA,CHAMAELEONIDAE,Brookesia minima,NA,29.38337091,3,5.493336991,95,67009871,Madagascar, 
SQUAMATA,SCINCIDAE,Paracontias fasika,NA,14.17309445,4,5.49211248,96,193487,Madagascar, 
SQUAMATA,PROSYMNIDAE,Prosymna ornatissima,Ornate Shovel-snout,14.16905069,4,5.491845935,97,177448,"Tanzania, United Republic of", 
SQUAMATA,DIPLODACTYLIDAE,Eurydactylodes occidentalis,NA,14.15439803,4,5.490879511,98,176204,New Caledonia, 
SQUAMATA,CHAMAELEONIDAE,Calumma tarzan,NA,14.13554775,4,5.489634855,99,193482,Madagascar, 
SQUAMATA,CHAMAELEONIDAE,Brookesia bonsi,Namoroka Leaf Chameleon,14.11976755,4,5.488591719,100,172878,Madagascar, 
SQUAMATA,DACTYLOIDAE,Anolis juangundlachi,"Finca Ceres Anole, Yellow-lipped Grass Anole",14.10116388,4,5.487360541,101,178278,Cuba, 
SQUAMATA,LEPTOTYPHLOPIDAE,Tetracheilostoma carlae,Barbados Threadsnake,13.95857282,4,5.47787329,102,203637,Barbados, 
SQUAMATA,LACERTIDAE,Gallotia simonyi,"El Hierro Giant Lizard, Hierro Giant Lizard",13.91050278,4,5.474654571,103,8881,Spain, 
SQUAMATA,CHAMAELEONIDAE,Brookesia ramanantsoai,,28.76571285,3,5.472798697,104,172777,Madagascar, 
SQUAMATA,LACERTIDAE,Eremias pleskei,"Pleske's Racerunner, Transcaucasian Racerunner",13.87223579,4,5.472084827,105,164583,"Armenia,Azerbaijan,Iran, Islamic Republic of,Turkey", 
SQUAMATA,TROPIDOPHIIDAE,Tropidophis hendersoni,Cuban Khaki Trope ,13.84967173,4,5.470566482,106,178429,Cuba, 
SQUAMATA,PHYLLODACTYLIDAE,Phyllodactylus sentosus,Lima Leaf-toed Gecko,13.68466129,4,5.459392222,107,48442971,Peru, 
SQUAMATA,LACERTIDAE,Gallotia bravoana,La Gomera Giant Lizard,13.57533144,4,5.451919194,108,61502,Spain, 
SQUAMATA,SCINCIDAE,Paracontias minimus,,13.57059734,4,5.45159434,109,172750,Madagascar, 
SQUAMATA,GEKKONIDAE,Ebenavia maintimainty,,28.11944307,3,5.450847639,110,29416,Madagascar, 
SQUAMATA,GEKKONIDAE,Paroedura masobe,,28.04421183,3,5.448260757,111,172883,Madagascar, 
SQUAMATA,AMPHISBAENIDAE,Amphisbaena leali,Pestel Amphisbaena,13.32969441,4,5.434922639,112,74856459,Haiti, 
SQUAMATA,CHAMAELEONIDAE,Furcifer belalandaensis,Belalanda Chameleon,13.28484666,4,5.431788024,113,172740,Madagascar, 
SQUAMATA,LACERTIDAE,Iberolacerta martinezricai,,13.23849687,4,5.428538066,114,61516,Spain, 
SQUAMATA,CHAMAELEONIDAE,Brookesia dentata,,27.46927644,3,5.428267028,115,172808,Madagascar, 
SQUAMATA,CHAMAELEONIDAE,Brookesia exarmata,,27.36540253,3,5.424611723,116,176295,Madagascar, 
SQUAMATA,CHAMAELEONIDAE,Brookesia karchei,,27.34811872,3,5.424002211,117,172748,Madagascar, 
SQUAMATA,CHAMAELEONIDAE,Brookesia peyrierasi,,27.34811872,3,5.424002211,117,172795,Madagascar, 
SQUAMATA,ANGUIDAE,Celestus anelpistus,Giant Hispaniolan Galliwasp,13.1727514,4,5.423909928,119,39258,Dominican Republic, 
SQUAMATA,TEIIDAE,Pholidoscelis corvina,Sombrero Ameiva,13.12676961,4,5.420660274,120,174139,Anguilla, 
SQUAMATA,GEKKONIDAE,Hemidactylus dracaenacolus,,13.08829981,4,5.417933374,121,199722,Yemen, 
SQUAMATA,ANGUIDAE,Celestus duquesneyi,"Blue-tailed Galliwasp, Duquesney's Galliwasp",13.08548962,4,5.417733885,122,4094,Jamaica, 
SQUAMATA,ANGUIDAE,Celestus microblepharis,"Small-eyed Galliwasp, Tiny-eyelid Galliwasp",13.047949,4,5.415065129,123,4096,Jamaica, 
SQUAMATA,IGUANIDAE,Brachylophus vitiensis,"Fiji Crested Iguana, Fijian Crested Iguana",13.03361074,4,5.414043942,124,2965,Fiji, 
SQUAMATA,ANGUIDAE,Diploglossus montisserrati,Montserrat Galliwasp,12.98607189,4,5.410650692,125,6638,Montserrat, 
SQUAMATA,LACERTIDAE,Podarcis raffonei,Aeolian Wall Lizard,12.96628214,4,5.409234729,126,61552,Italy, 
SQUAMATA,ANGUIDAE,Celestus occiduus,"Jamaica Giant Galliwasp, Sinking Galliwasp",12.77181583,4,5.395212895,127,4097,Jamaica, 
SQUAMATA,AGAMIDAE,Cophotis dumbara,,12.65284446,4,5.386536608,128,169677,Sri Lanka, 
SQUAMATA,GEKKONIDAE,Cyrtodactylus jeyporensis,"Jeypore Ground Gecko, Patinghe Indian Gecko",12.54955436,4,5.378942381,129,194100,India, 
SQUAMATA,ANNIELLIDAE,Anniella geronimensis,,26.06673945,3,5.377747189,130,63722,Mexico, 
SQUAMATA,AMPHISBAENIDAE,Amphisbaena cayemite,Cayemite Short-tailed Amphisbaena,12.42982697,4,5.370066849,131,74855383,Haiti, 
SQUAMATA,LEIOSAURIDAE,Pristidactylus casuhatiensis,"Casuhatien Anole, Copper Lizard",12.36326507,4,5.365098252,132,203152,Argentina, 
SQUAMATA,SCINCIDAE,Plestiodon longirostris,Bermuda Skink,12.31748168,4,5.361666306,133,8218,Bermuda, 
SQUAMATA,GEKKONIDAE,Hemidactylus bouvieri,"Bouvier's Leaf-toed Gecko, Cape Verde Leaf-toed Gecko",12.27387773,4,5.358386745,134,203840,Cape Verde, 
SQUAMATA,SCINCIDAE,Scelotes inornatus,"Durban Dwarf Burrowing Skink, Legless Burrowing Skink, Smith's Dwarf Burrowing Skink",12.24338422,4,5.356086846,135,178207,South Africa, 
SQUAMATA,PSEUDOXYRHOPHIIDAE,Pseudoxyrhopus ankafinaensis,,12.15866784,4,5.349669415,136,172860,Madagascar, 
SQUAMATA,GEKKONIDAE,Hemidactylus kundaensis,,12.1514388,4,5.349119889,137,16393650,Guinea, 
SQUAMATA,GEKKONIDAE,Luperosaurus joloensis,Jolo Flapped-legged Gecko,25.28611757,3,5.348482493,138,169845,Philippines, 
SQUAMATA,SCINCIDAE,Panopa croizati,Horton's Mabuya,12.12101051,4,5.346803524,139,47103060,"Venezuela, Bolivarian Republic of", 
CROCODYLIA,CROCODYLIDAE,Crocodylus mindorensis,Philippine Crocodile,12.07990308,4,5.343665659,140,5672,Philippines, 
SQUAMATA,AMPHISBAENIDAE,Amphisbaena gonavensis,Gonave Worm Lizard,12.07761593,4,5.343490783,141,74855790,Haiti, 
TESTUDINES,CHELYDRIDAE,Macrochelys temminckii,Alligator Snapping Turtle,50.96878452,2,5.336937602,142,12589,United States, 
SQUAMATA,IGUANIDAE,Cyclura pinguis,"Anegada Rock Iguana, Anegada Ground Iguana, Anegada Island Iguana",11.94867986,4,5.333582564,143,6031,"Virgin Islands, British", 
CROCODYLIA,CROCODYLIDAE,Crocodylus siamensis,Siamese Crocodile,11.93824897,4,5.332776683,144,5671,"Indonesia,Cambodia,Lao People's Democratic Republic,Thailand,Viet Nam", 
SQUAMATA,CHAMAELEONIDAE,Archaius tigris,"Tiger Chameleon, Seychelles Tiger Chameleon",24.78848795,3,5.329369731,145,61425,Seychelles, 
TESTUDINES,TRIONYCHIDAE,Trionyx triunguis,"African Softshell Turtle, Nile Softshell Turtle",50.05117886,2,5.319122998,146,62256,"Angola,Benin,Congo, The Democratic Republic of the,Congo,Côte d'Ivoire,Cameroon,Egypt,Eritrea,Ethiopia,Gabon,Ghana,Gambia,Guinea,Equatorial Guinea,Greece,Guinea-Bissau,Israel,Kenya,Liberia,Namibia,Niger,Nigeria,Sudan,Sierra Leone,Senegal,Somalia,South Sudan,Chad,Togo,Turkey,Uganda", 
SQUAMATA,DACTYLOIDAE,Anolis strahmi,"Baoruco Cliff Anole, Strahm's Anole",24.32617716,3,5.311280073,147,178313,Dominican Republic, 
SQUAMATA,CHAMAELEONIDAE,Furcifer balteatus,Two-banded Chameleon,24.29850606,3,5.310186887,148,172934,Madagascar, 
SQUAMATA,GEKKONIDAE,Dierogekko koniambo,Koniambo Striped Gecko,11.60509158,4,5.306689548,149,176177,New Caledonia, 
SQUAMATA,AMPHISBAENIDAE,Cynisca kigomensis,,11.57499773,4,5.304299257,150,203810,Nigeria, 
SQUAMATA,SCINCIDAE,Madascincus arenicola,,11.44920648,4,5.294245606,151,199771,Madagascar, 
TESTUDINES,TRIONYCHIDAE,Pelodiscus sinensis,Chinese Softshell Turtle,48.5890488,2,5.29006438,152,39620,"China,Japan,Thailand,Taiwan, Province of China,United States,Viet Nam", 
SQUAMATA,PSEUDOXYRHOPHIIDAE,Compsophis vinckei,,11.38103542,4,5.288754623,153,172911,Madagascar, 
SQUAMATA,PHRYNOSOMATIDAE,Sceloporus exsul,,11.38026438,4,5.288692344,154,64102,Mexico, 
SQUAMATA,GEKKONIDAE,Dierogekko inexpectatus,,11.31088286,4,5.283072379,155,176154,New Caledonia, 
SQUAMATA,AMPHISBAENIDAE,Cynisca gansi,,11.31045414,4,5.283037554,156,203808,Nigeria, 
SQUAMATA,SCINCIDAE,Ctenotus lancelini,Lancelin Island Skink,11.28042936,4,5.280595609,157,5861,Australia, 
SQUAMATA,GEKKONIDAE,Cnemaspis psychedelica,Psychedelic Rock Gecko,23.45230543,3,5.276166045,158,97210381,Viet Nam, 
SQUAMATA,GEKKONIDAE,Dierogekko kaalaensis,Kaala Striped Gecko,11.13091634,4,5.268345986,159,176187,New Caledonia, 
TESTUDINES,CHELIDAE,Elseya branderhorsti,"White-bellied Snapping Turtle, Branderhort's Snapping Turtle",47.19202782,2,5.261487971,160,39623,Indonesia, 
SQUAMATA,CROTAPHYTIDAE,crotaphytus antiquus,,23.03167978,3,5.258814492,161,64005,Mexico, 
